movie_name,movie_rating,movie_cast
Crawl,,"Kaya Scodelario,Barry Pepper,Ross Anderson,Anson Boon"
Thor: The Dark World,6.9,"Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård"
Baywatch,5.6,"Dwayne Johnson,Zac Efron,Alexandra Daddario,Priyanka Chopra"
Avatar,7.8,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez"
Triple Frontier,6.5,"Ben Affleck,Oscar Isaac,Charlie Hunnam,Garrett Hedlund"
How to Train Your Dragon: The Hidden World,7.6,"Jay Baruchel,America Ferrera,F. Murray Abraham,Cate Blanchett"
The Favourite,7.6,"Olivia Colman,Emma Stone,Rachel Weisz,Nicholas Hoult"
Pulp Fiction,8.9,"John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis"
The Dark Knight,9.0,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine"
The Greatest Showman,7.6,"Hugh Jackman,Michelle Williams,Zac Efron,Zendaya"
Split,7.3,"James McAvoy,Anya Taylor-Joy,Haley Lu Richardson,Jessica Sula"
The Silence,5.2,"Stanley Tucci,Kiernan Shipka,Miranda Otto,Kate Trotter"
Venom,6.7,"Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze"
Alita: Battle Angel,7.5,"Rosa Salazar,Christoph Waltz,Jennifer Connelly,Mahershala Ali"
Get Out,7.7,"Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener"
Happy Death Day 2U,6.3,"Jessica Rothe,Israel Broussard,Phi Vu,Suraj Sharma"
Justice League,6.5,"Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller"
Iron Man 2,7.0,"Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle"
The Upside,6.7,"Kevin Hart,Bryan Cranston,Nicole Kidman,Aja Naomi King"
Mid90s,7.4,"Sunny Suljic,Katherine Waterston,Lucas Hedges,Na-kel Smith"
Ocean's Eight,6.2,"Sandra Bullock,Cate Blanchett,Anne Hathaway,Mindy Kaling"
X-Men Origins: Wolverine,6.6,"Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston"
Mamma Mia! Here We Go Again,6.8,"Lily James,Amanda Seyfried,Meryl Streep,Cher"
Isn't It Romantic,5.9,"Rebel Wilson,Liam Hemsworth,Adam Devine,Priyanka Chopra"
Maharshi,8.1,"Mahesh Babu,Pooja Hegde,Allari Naresh,Rajsekhar Aningi"
The Irishman,,"Stephen Graham,Robert De Niro,Al Pacino,Anna Paquin"
American Honey,7.0,"Sasha Lane,Shia LaBeouf,Riley Keough,McCaul Lombardi"
Doctor Strange,7.5,"Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong"
Fantastic Beasts: The Crimes of Grindelwald,6.7,"Eddie Redmayne,Katherine Waterston,Dan Fogler,Johnny Depp"
The Lord of the Rings: The Fellowship of the Ring,8.8,"Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean"
Yesterday,6.5,"Himesh Patel,Lily James,Sophia Di Martino,Ellise Chappell"
Ready Player One,7.5,"Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe"
Mortal Engines,6.1,"Hera Hilmar,Robert Sheehan,Hugo Weaving,Jihae"
Guardians of the Galaxy Vol. 3,,"Elizabeth Debicki,Chris Pratt,Pom Klementieff,Dave Bautista"
The Secret Life of Pets,6.5,"Louis C.K.,Eric Stonestreet,Kevin Hart,Lake Bell"
Jurassic World: Fallen Kingdom,6.2,"Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith"
Vice,7.2,"Christian Bale,Amy Adams,Steve Carell,Sam Rockwell"
A Quiet Place,7.6,"Emily Blunt,John Krasinski,Millicent Simmonds,Noah Jupe"
Interstellar,8.6,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy"
The Girl on the Train,6.5,"Emily Blunt,Haley Bennett,Rebecca Ferguson,Justin Theroux"
Harry Potter and the Sorcerer's Stone,7.6,"Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith"
Mission: Impossible - Fallout,7.8,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg"
Jojo Rabbit,,"Roman Griffin Davis,Thomasin McKenzie,Taika Waititi,Sam Rockwell"
Love,6.1,"Aomi Muyock,Karl Glusman,Klara Kristin,Juan Saavedra"
Bad Times at the El Royale,7.1,"Jeff Bridges,Cynthia Erivo,Dakota Johnson,Jon Hamm"
Tombstone,7.8,"Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton"
Under the Silver Lake,6.4,"Andrew Garfield,Riley Keough,Topher Grace,Callie Hernandez"
Inception,8.8,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe"
Charlie Says,5.7,"Hannah Murray,Suki Waterhouse,Annabeth Gish,Sosie Bacon"
300,7.7,"Gerard Butler,Lena Headey,David Wenham,Dominic West"
Titanic,7.8,"Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates"
Wonder Woman,7.5,"Gal Gadot,Chris Pine,Robin Wright,Lucy Davis"
Austin Powers: International Man of Mystery,7.0,"Mike Myers,Elizabeth Hurley,Michael York,Mimi Rogers"
Mad Max: Fury Road,8.1,"Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz"
Batman v Superman: Dawn of Justice,6.5,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg"
Aniara,6.7,"Emelie Jonsson,Bianca Cruzeiro,Arvin Kananian,Anneli Martini"
Instant Family,7.4,"Mark Wahlberg,Rose Byrne,Isabela Moner,Gustavo Escobar"
Godzilla vs. Kong,,"Millie Bobby Brown,Alexander Skarsgård,Lance Reddick,Eiza González"
Passengers,7.0,"Jennifer Lawrence,Chris Pratt,Michael Sheen,Laurence Fishburne"
The Souvenir,7.2,"Neil Young,Tosin Cole,Jack McMullen,Tilda Swinton"
About Time,7.8,"Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson"
Ant-Man,7.3,"Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly"
Olympus Has Fallen,6.5,"Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett"
Polar,6.3,"Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,Fei Ren"
Zombieland,7.6,"Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin"
Me Before You,7.4,"Emilia Clarke,Sam Claflin,Janet McTeer,Charles Dance"
Destroyer,6.2,"Nicole Kidman,Toby Kebbell,Tatiana Maslany,Sebastian Stan"
The Goonies,7.8,"Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman"
Star Wars: The Last Jedi,7.2,"Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher"
